Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Response To Reactive Oxygen Species (GO:0000302)	1/66	0.0483890551226402	0.0608969309898501	0	0	21.89010989010989	66.29379556401673	ATM	1	66	0.015151515151515152	1.2154045938656177	Response To Reactive Oxygen Species	Response To Reactive Oxygen Species
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	2/483	0.0496587811246266	0.0623321158908073	0	0	6.2382856229010075	18.730951917679132	CDKN1A;MDM2	2	483	0.004140786749482402	1.2052881305425405	Positive Regulation Of Cell Population Proliferation	"Positive Regulation Of Cell Population
Proliferation"
GO_Biological_Process_2023	DNA-templated DNA Replication (GO:0006261)	1/69	0.0505357551625392	0.0632681402294647	0	0	20.92121848739496	62.4513889160488	RAD51	1	69	0.014492753623188406	1.198814931463911	DNA-templated DNA Replication	DNA-templated DNA Replication
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	1/70	0.0512503168821025	0.0638311440237039	0	0	20.616977225672876	61.25372955093302	BRCA2	1	70	0.014285714285714285	1.1949673717893805	Negative Regulation Of Epithelial Cell Proliferation	"Negative Regulation Of Epithelial Cell
Proliferation"
GO_Biological_Process_2023	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)	1/70	0.0512503168821025	0.0638311440237039	0	0	20.616977225672876	61.25372955093302	BRCA1	1	70	0.014285714285714285	1.1949673717893805	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway	"Negative Regulation Of Extrinsic Apoptotic
Signaling Pathway"
GO_Biological_Process_2023	Myeloid Leukocyte Differentiation (GO:0002573)	1/71	0.0519643766701574	0.064553684420144	0	0	20.321428571428573	60.09446474588032	CASP8	1	71	0.014084507042253521	1.1900789652074302	Myeloid Leukocyte Differentiation	Myeloid Leukocyte Differentiation
GO_Biological_Process_2023	Cellular Response To Reactive Oxygen Species (GO:0034614)	1/73	0.0533909917466193	0.0659857897996679	0	0	19.754960317460316	57.88427080418689	ATM	1	73	0.0136986301369863	1.1805495807620332	Cellular Response To Reactive Oxygen Species	Cellular Response To Reactive Oxygen Species
GO_Biological_Process_2023	DNA Replication (GO:0006260)	1/73	0.0533909917466193	0.0659857897996679	0	0	19.754960317460316	57.88427080418689	CHEK1	1	73	0.0136986301369863	1.1805495807620332	DNA Replication	DNA Replication
GO_Biological_Process_2023	Regulation Of DNA Replication (GO:0006275)	1/75	0.0548156030017759	0.0675731985853094	0	0	19.219111969111967	55.80808062680675	ATR	1	75	0.013333333333333334	1.1702255232080427	Regulation Of DNA Replication	Regulation Of DNA Replication
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	1/77	0.0562382130645868	0.0687990322262204	0	0	18.711466165413533	53.854571105438765	RB1	1	77	0.012987012987012988	1.1624176708018186	Cell Morphogenesis Involved In Neuron Differentiation	"Cell Morphogenesis Involved In Neuron
Differentiation"
GO_Biological_Process_2023	Positive Regulation Of Response To Stimulus (GO:0048584)	1/77	0.0562382130645868	0.0687990322262204	0	0	18.711466165413533	53.854571105438765	BRCA1	1	77	0.012987012987012988	1.1624176708018186	Positive Regulation Of Response To Stimulus	Positive Regulation Of Response To Stimulus
GO_Biological_Process_2023	Regulation Of Immune Response (GO:0050776)	1/77	0.0562382130645868	0.0687990322262204	0	0	18.711466165413533	53.854571105438765	CASP8	1	77	0.012987012987012988	1.1624176708018186	Regulation Of Immune Response	Regulation Of Immune Response
GO_Biological_Process_2023	Negative Regulation Of Protein Modification Process (GO:0031400)	1/78	0.0569487684566197	0.0691418297130748	0	0	18.467532467532468	52.920620399451245	CDKN1A	1	78	0.01282051282051282	1.1602591318260465	Negative Regulation Of Protein Modification Process	"Negative Regulation Of Protein Modification
Process"
